study,gene,chr,rho_expr_vs_severity,p,rho_geneCN_vs_ptenCN
OV,GLS,other,-0.08911932894231701,0.12670719697229713,0.045699220698235156
OV,GPT2,other,0.051858284781500376,0.3748037890067656,0.03528690045578764
OV,SLC1A5,other,0.14596594045605038,0.012077897687590293,0.03937977864771432
PRAD,GLUD1,chr10,-0.5859269294086267,2.554983212515287e-46,0.7727973014830158
PRAD,GOT1,chr10,-0.22416575784675272,5.641754334944184e-07,0.5472670472174818
PRAD,GLS,other,0.02024776168973676,0.6554626418508442,0.08072213399765499
PRAD,GPT2,other,-0.3259679157394063,1.523828370836869e-13,0.04993738769565208
PRAD,SLC1A5,other,-0.34755360110305383,2.6620074021475453e-15,-0.06548809730628218
SARC,GLUD1,chr10,-0.5260884992471774,2.8702367155870344e-19,0.9647343921523363
SARC,GOT1,chr10,-0.4008214543714016,4.1903362932144644e-11,0.8875942749081647
SARC,GLS,other,0.10247854259920143,0.1052906255753358,0.17805926951511789
SARC,GPT2,other,-0.097210702898496,0.12452369996362465,0.3667093868772984
SARC,SLC1A5,other,-0.005060605598832117,0.9364159017761048,0.0914735156490539
SKCM,GLUD1,chr10,-0.45051462075982807,9.594860974332997e-20,0.8689838413629667
SKCM,GOT1,chr10,-0.37114745454681003,1.9808545311309766e-13,0.890979310080983
SKCM,GLS,other,0.011064321227669831,0.8326958689584482,0.010152507453594929
SKCM,GPT2,other,0.03322588337195248,0.5257413902528953,0.08149381464235303
SKCM,SLC1A5,other,-0.01920416197149983,0.7138595120626846,-0.0037390845396773156
STAD,GLUD1,chr10,-0.4084069955837139,6.506632694065023e-18,0.8842260894862686
STAD,GOT1,chr10,-0.09293416361153936,0.06009461317837569,0.67330186941042
STAD,GLS,other,0.02338100793410391,0.6368922040362339,-0.00828093509952934
STAD,GPT2,other,0.07953595640590456,0.10781067057652532,0.0786362218988885
STAD,SLC1A5,other,0.20362244038732982,3.266378996155575e-05,-0.023942693691247068
UCEC,GLUD1,chr10,-0.3041797415737324,1.291964649661313e-12,0.9072310778123803
UCEC,GOT1,chr10,-0.17240381054934018,7.640875370535974e-05,0.8486316106309846
UCEC,GLS,other,0.06798576467185873,0.12117265271732297,-0.04978829907345469
UCEC,GPT2,other,-0.06293684976816279,0.15142042128147712,0.11515015695116232
UCEC,SLC1A5,other,0.08243543814199916,0.06006642158643937,0.00553766338960644
